name,score,reviewCnt,category,address,url
뉴델리,5.0,123,인도 요리,서울 강남구 논현로176길 28 신사동,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7033774-Reviews-New_Delhi-Seoul.html
류니끄,4.5,131,퓨전,서울 강남구 강남대로162길 40,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7086482-Reviews-Ryunique-Seoul.html
코리아노스 키친,4.0,76,멕시코 요리,서울 강남구 선릉로157길 25 B1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6643598-Reviews-Coreanos_Kitchen-Seoul.html
스쿨푸드 가로수길점,4.0,114,아시아 요리,서울 강남구 도산대로 139,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2241598-Reviews-School_Food_Garosu_gil-Seoul.html
권숙수,4.5,50,한국,서울 강남구 언주로170길 27 4층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8743798-Reviews-Kwonsooksoo-Seoul.html
강남면옥,4.0,59,아시아 요리,서울 강남구 논현로152길 34,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4032315-Reviews-Gangnam_Myeonok-Seoul.html
뱃고동,4.5,42,아시아 요리,서울 강남구 언주로172길 54,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7266651-Reviews-Batgodong-Seoul.html
삼원 가든 본점,4.0,147,바베큐,서울 강남구 언주로 835,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d810850-Reviews-Samwon_Garden_Main_Store-Seoul.html
깐부치킨 신사역점,4.0,37,한국,서울 강남구 강남대로152길 30 태웅빌딩 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7126251-Reviews-Kkanbu_Chicken_Sinsa_Station-Seoul.html
셰막,4.5,34,아시아 요리,서울 강남구 신사동 536-1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4166624-Reviews-Chez_Maak-Seoul.html
한일관 영등포점,4.5,32,한국,서울 영등포구 영중로 15,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8591005-Reviews-Hanilkwan_Yeongdeungpo-Seoul.html
포도식당 압구정점,4.5,27,아시아 요리,서울 강남구 신사동 570-4 일신빌딩 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4076174-Reviews-Podo_Sikdang_Apgujeong-Seoul.html
투뿔 등심 논현2호점,4.5,26,아시아 요리,서울 강남구 언주로148길 19,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7269157-Reviews-Two_Plus_Deungsim_Nonhyeon_2-Seoul.html
김북순 큰남비집,4.5,33,아시아 요리,서울 강남구 신사동 536-8 우림빌딩 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2219211-Reviews-KimBuksun_s_Big_Pot_House-Seoul.html
압구정 미연,5.0,14,한국,서울 강남구 압구정로54길 14 지하1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14208538-Reviews-Apgujeong_Myeon-Seoul.html
톡톡,4.5,20,유럽 요리,서울 강남구 도산대로51길 33 3층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12275263-Reviews-Toc_Toc-Seoul.html
일일향,4.5,24,중국 요리,서울 강남구 신사동 601-3,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4030210-Reviews-Ililhyang-Seoul.html
저스트 스테이크,4.5,22,스테이크하우스,서울 강남구 신사동 657-3,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d5541516-Reviews-Just_Steak-Seoul.html
삼원가든 대치점,4.5,24,한국,서울 강남구 대치2동 993-1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4071048-Reviews-Samwon_Garden_Daechi-Seoul.html
엘본 더 테이블 가로수길 본점 ,3.5,59,유럽 요리,서울 강남구 신사동 530-5,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2261239-Reviews-ELBON_the_table_Garosugil_Store-Seoul.html
세광양대창 - 신사역가로수길점,5.0,10,바베큐,서울 강남구 도산대로1길 24 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d19513937-Reviews-Segyang_Yangdaechang_Sinsa_Station_Garosugil-Seoul.html
스시선수,5.0,13,일본 요리,서울 강남구 도산대로45길 6 호림아트센터 2빌딩,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9255297-Reviews-Sushi_Seonsu-Seoul.html
가온,4.0,30,한국,서울 강남구 도산대로 317 호림아트빌딩 M층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d10202101-Reviews-Gaon-Seoul.html
베러댄비프,4.0,31,아시아 요리,서울 도산대로11길 5,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8914446-Reviews-Better_Than_Beef-Seoul.html
메드포갈릭 압구정점,4.0,45,이탈리아 요리,서울 강남구 신사동 616-1 파티마빌딩 지하 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1140460-Reviews-Mad_For_Garlic_Apgujeong-Seoul.html
달빛술담,4.5,20,아시아 요리,서울 강남구 압구정로46길 38,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6702849-Reviews-Moon_Jar-Seoul.html
바나나트리,4.5,13,점심식사,서울 압구정로4길 10 CU 편의점 뒷편 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8955379-Reviews-Banana_Tree-Seoul.html
머그포래빗,4.5,17,아시아 요리,서울 강남구 논현로153길 53,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7748343-Reviews-Mug_for_Rabbit-Seoul.html
마사 타코스,4.5,16,멕시코 요리,서울 강남구 압구정로10길 30-8,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12668025-Reviews-Masa_Tacos-Seoul.html
그레이스푼,5.0,12,이탈리아 요리,서울 강남구 강남대로156길 35 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12459494-Reviews-GREYSPOON-Seoul.html
멘야산다이메 신사가로수길점,4.5,14,일본 요리,서울 강남구 압구정로2길 46 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13229887-Reviews-Menya_Sandaime_Sinsa_Garosugil-Seoul.html
하모,4.5,14,아시아 요리,서울 강남구 언주로 819 HB 빌딩 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7149910-Reviews-Hamo-Seoul.html
스페인클럽,4.0,30,스페인 요리,서울 강남구 압구정로10길 26,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4034971-Reviews-Spain_Club-Seoul.html
삼원가든,4.0,20,바베큐,서울 언주로 835,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9313425-Reviews-Samwon_Garden-Seoul.html
마켓오 압구정점,4.0,29,이탈리아 요리,"서울 강남구 논현동 94 Apgujeong, Gangnam-gu",https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4050121-Reviews-Market_O-Seoul.html
에르메스 까페마당,4.0,20,카페,서울 강남구 도산대로45길 7 지하 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d10536992-Reviews-Cafe_Madang_Maison_Hermes_Dosan_Park-Seoul.html
팔일삼,4.5,12,아시아 요리,서울 강남구 도산대로11길 5,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6591905-Reviews-The_August_Thirteen_813-Seoul.html
달식탁,4.0,27,아시아 요리,서울 강남구 도산대로15길 11,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7748100-Reviews-Dal_Siktak-Seoul.html
민스키친,4.5,13,아시아 요리,서울 강남구 도산대로45길 10-4,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4078641-Reviews-Min_s_Kitchen-Seoul.html
순남시래기 압구정점,4.5,13,아시아 요리,서울 강남구 압구정로28길 22,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d10253328-Reviews-Soonnam_Siraegi_Apgujeong-Seoul.html
도쿄등심 압구정점,4.5,10,아시아 요리,서울 강남구 도산대로49길 9 3층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d15243777-Reviews-Tokyo_Sirloin-Seoul.html
일피아또,4.5,10,이탈리아 요리,서울 강남구 도산대로23길 7,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8972265-Reviews-Il_Piatto-Seoul.html
Wooga,5.0,8,스테이크하우스,"서울 B1F, 22 Dosan-daero 49-gil Gangnam-gu",https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14061427-Reviews-Wooga-Seoul.html
망고 식스 압구정점,4.0,36,아시아 요리,서울 강남구 신사동 648-13,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2067899-Reviews-Mango_Six_Cafe_Apgujeong_Store-Seoul.html
부첼라 신사동점,4.0,18,카페,서울 강남구 강남대로160길 49 Sangwon Bldg. 1F,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4784005-Reviews-Buccella_Sinsadong-Seoul.html
목포집,4.5,14,한국,서울 강남구 신사동 512-18,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4033646-Reviews-Mokpojip-Seoul.html
한추,3.5,30,아시아 요리,서울 강남구 논현로175길 68,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7087489-Reviews-Hanchu-Seoul.html
그랑씨엘 도산점,4.5,12,이탈리아 요리,서울 강남구 신사동 650-22,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4033697-Reviews-Grand_Ciel_Dosan-Seoul.html
일일향 - 압구정 본점,4.0,20,점심식사,서울 강남구 논현로168길 30,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8973274-Reviews-Yilyilhyang_Apgujeon_Bonjeom-Seoul.html
르 브런쉭,4.5,12,카페,서울 강남구 신사동 524-35,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d5927696-Reviews-Le_Brunchic-Seoul.html
장사랑,4.5,10,아시아 요리,서울 신사동 624-47,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6494529-Reviews-Jangsarang-Seoul.html
더 플라잉 팬 화이트,4.0,14,미국 요리,서울 강남구 도산대로15길 8,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6702859-Reviews-The_Flying_Pan_White-Seoul.html
아우어 베이커리,4.0,15,카페,서울 강남구 도산대로45길 10-11 JYC2 빌딩,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13859720-Reviews-Our_Bakery-Seoul.html
연타발 압구정 본점,4.0,15,아시아 요리,서울 강남구 도산대로 231,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d5229279-Reviews-Yeontabal_Apgujeong-Seoul.html
아비꼬 신사가로수길점,4.0,17,일본 요리,서울 강남구 강남대로152길 46,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4070524-Reviews-Abiko_Curry_Sinsa_Garosugil-Seoul.html
메이드 레스토랑,4.5,10,이탈리아 요리,서울 강남구 논현로175길 17,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7234201-Reviews-MADE_Restaurant-Seoul.html
한일관,4.0,17,아시아 요리,서울 강남구 압구정로38길 14,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8985439-Reviews-Hanilkwan-Seoul.html
백곰막걸리&양조장,4.5,7,자가 맥주 판매pub,서울 강남구 압구정로48길 39 657-7 Sinsa-dong,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12945768-Reviews-White_Bear_Makgeolli_Bar_Brewery-Seoul.html
신 마포 갈매기 가로수길점,4.0,11,아시아 요리,서울 강남구 신사동 536-8,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d5074225-Reviews-Sin_Mapo_Galmaegi_Garosugil-Seoul.html
유노추보,4.0,11,일본 요리,"서울 강남구 신사동 524-14  영진빌딩 1층 1F, Yeongjin Bldg.",https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4074452-Reviews-Yuno_Chubo-Seoul.html
램브라튼,4.5,6,바,서울 강남구 압구정로10길 30-10,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9341105-Reviews-Lamm_Braten-Seoul.html
테이블스타,4.0,9,이탈리아 요리,서울 강남구 논현로153길 62,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9258113-Reviews-Table_Star-Seoul.html
라미띠에,4.5,10,프랑스 요리,서울 강남구 언주로153길 7 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4034225-Reviews-La_amitie-Seoul.html
임프레션,5.0,4,미국 요리,서울 강남구 언주로164길 24 5층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d16831318-Reviews-L_impression-Seoul.html
꼬에모,5.0,4,유럽 요리,서울 강남구 압구정로46길 71-1 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d19990379-Reviews-Coemo-Seoul.html
위키드스노우 가로수길점,4.0,10,카페,서울 강남구 압구정로14길 6,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6817357-Reviews-Wicked_Snow_Garosugil-Seoul.html
완산골명가 압구정2호점,4.5,11,아시아 요리,서울 대한민국 서울시 강남구 압구정로20길 21,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6643472-Reviews-Wansangol_Myungga_Apgujeong_2-Seoul.html
까폼,5.0,4,아시아 요리,서울 강남구 선릉로153길 18,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14790370-Reviews-Krappom-Seoul.html
이타카,5.0,4,인터내셔널,서울 언주로174길 30,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14231776-Reviews-Ithaca-Seoul.html
레이지쿠오레,4.5,6,이탈리아 요리,서울 강남구 도산대로45길 16-11,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13934151-Reviews-Lazy_Cuore-Seoul.html
buonasera,4.0,16,이탈리아 요리,서울 강남구 신사동 650-1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1151069-Reviews-Buonasera-Seoul.html
마이쏭,4.0,9,미국 요리,서울 강남구 신사동 650-17,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2219164-Reviews-My_Ssong-Seoul.html
교촌치킨,4.5,5,아시아 요리,서울 언주로172길 29,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9031971-Reviews-Kyochon_Chicken-Seoul.html
하루,4.0,11,일본 요리,서울 신사동 663-9,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4034927-Reviews-Haru-Seoul.html
피어세븐틴,4.0,7,멕시코 요리,서울 강남구 압구정로10길 13 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9322122-Reviews-Pier_17-Seoul.html
