name,score,reviewCnt,category,address,url
오리엔탈 스푼 압구정 본점,4.0,12,아시아 요리,서울 강남구 신사동 647-24 지하1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3923416-Reviews-Oriental_Spoon_Apgujung_Store-Seoul.html
스시기요세,5.0,3,일본 요리,서울 강남구 압구정로46길 73,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13354938-Reviews-Sushi_Kiyose-Seoul.html
한우리,4.0,9,아시아 요리,서울 도산대로 304,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8991059-Reviews-Hanwoori-Seoul.html
두부공작소,4.0,5,해산물,서울 강남대로160길 21,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9217593-Reviews-Tofu_Gong_Jak_Cow-Seoul.html
미드가르드,4.5,6,유럽 요리,서울 강남구 도산대로17길 6,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6498211-Reviews-Midgard-Seoul.html
사람사는 고깃집 김일도 신사점,5.0,3,아시아 요리,서울 강남구 압구정로2길 46,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13354710-Reviews-Saram_Saneun_Gogitjib_Kim_Il_Do_Sinsa-Seoul.html
빌라 드 스파이시,3.5,16,아시아 요리,서울 강남구 도산대로13길 14-3,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6684200-Reviews-Villa_de_spicy-Seoul.html
JS 가든,4.0,12,중국 요리,서울 강남구 논현동 92 SB Tower C동 1F,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4084255-Reviews-JS-Seoul.html
카페포엠,4.0,6,카페,서울 강남구 신사동 525-14,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d5927699-Reviews-Cafe_Four_M-Seoul.html
르타오,4.0,7,아시아 요리,서울 압구정로18길 31,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9293333-Reviews-Reu_Tao-Seoul.html
미아전,4.5,3,아시아 요리,서울 강남구 언주로164길 34-1 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d19595867-Reviews-Miajeon-Seoul.html
더 팬케이크 에피데믹,3.5,14,카페,서울 강남구 압구정로46길 42,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8317714-Reviews-The_Pancake_Epidemic-Seoul.html
솔트,4.5,4,점심식사,서울 강남대로158길 9,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9235654-Reviews-Salt-Seoul.html
2시의 테이블 by 메종 드 꾸숑,5.0,4,스테이크하우스,서울 강남구 압구정로12길 42-1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d10696724-Reviews-2_o_clock_s_Table_by_Maison_de_Cochon-Seoul.html
24절기,4.0,6,인터내셔널,서울 도산대로37길 13,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8931123-Reviews-24_Seasons-Seoul.html
만두집,4.0,5,아시아 요리,서울 강남구 신사동 661-1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4073572-Reviews-Mandujip-Seoul.html
크래프트한스 강남직영점,3.5,11,바,서울 서초구 강남대로65길 7 3층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12257399-Reviews-Craft_Han_s-Seoul.html
알로 페이퍼가든,4.0,5,카페,서울 강남구 압구정로10길 44,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6643572-Reviews-Allo_Papergarden-Seoul.html
헥사곤 가로수길점,4.0,6,멕시코 요리,서울 강남구 도산대로11길 15 대영빌딩 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8638866-Reviews-Hexagon_Garosu_gil-Seoul.html
미앙,5.0,2,타이 요리,서울 강남구 논현로 854 안다즈호텔 지하1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20376455-Reviews-Miiang-Seoul.html
볼피노 - 서울,4.5,3,이탈리아 요리,서울 강남구 도산대로45길 10-7,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d19121755-Reviews-Volpino_Seoul-Seoul.html
스쿠로,4.5,3,이탈리아 요리,서울 강남구 도산대로17길 31 1F 스쿠로,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d11824462-Reviews-Scuro-Seoul.html
반장떡볶이,4.0,6,아시아 요리,서울 도산대로 135,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8956317-Reviews-Banjang_Rice_Cake_Boki-Seoul.html
페어링6,4.0,5,일본 요리,서울 강남구 압구정로 152,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13387846-Reviews-Pairing6-Seoul.html
나마스테 청담점,4.0,7,인도 요리,서울 강남구 신사동 548,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4030766-Reviews-Namaste_Cheongdam-Seoul.html
삐아프 아티산 쇼콜라티에,5.0,2,점심식사,서울 강남구 압구정로4길 27-3,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6960428-Reviews-Piaf_Artisan_Chocolatier-Seoul.html
포 베이 압구정 본점,3.5,16,아시아 요리,서울 서울 강남구 신사동 637-15 대명빌딩 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1143877-Reviews-Pho_Bay_Apgujeong_Main_Store-Seoul.html
토크 서비스,5.0,3,카페,서울 강남구 압구정로10길 44,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6643574-Reviews-Talk_Service-Seoul.html
개화옥 가로수길점,3.5,10,아시아 요리,서울 강남구 신사동 550-8,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4083830-Reviews-Gaehwaok_Garosugil-Seoul.html
모던밥상,4.5,4,아시아 요리,서울 강남구 도산대로13길 32-1 3층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3585164-Reviews-Modern_Babsang-Seoul.html
피그닉,4.5,3,자가 맥주 판매pub,서울 강남구 압구정로2길 46,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6818420-Reviews-Pigniq-Seoul.html
무라사키,4.5,3,일본 요리,서울 강남구 신사동 631-31,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3585162-Reviews-Murasaki-Seoul.html
디자인 카페,4.0,5,카페,서울 강남구 신사동 646-5,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1018414-Reviews-Design_Cafe-Seoul.html
카페베네 압구정로데오점,4.0,3,카페,서울 강남구 신사동 663-1 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3937329-Reviews-Caffe_Bene_Apgujeong_Rodeo_Store-Seoul.html
우 텐더,3.5,7,아시아 요리,서울 강남구 압구정로42길 25-10,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d17602382-Reviews-Woo_Tender-Seoul.html
몽크투바흐,5.0,1,저녁식사,서울 도산대로27길 21,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9416957-Reviews-Monk_to_Bach-Seoul.html
희유,5.0,1,일본 요리,서울 강남구 논현로164길 18,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d18543650-Reviews-Hee_Yu-Seoul.html
화해당,4.0,2,아시아 요리,서울 도산대로45길 8-7,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8960266-Reviews-Hwahae_Dang-Seoul.html
시추안 하우스 - 압구정점,5.0,1,점심식사,서울 강남구 논현로 854 Andaz Seoul Gangnam B1 level,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d19449515-Reviews-Sichuan_House_Apgujeong-Seoul.html
감성돼지,4.0,2,아시아 요리,서울 강남구 강남대로152길 15,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13108654-Reviews-Gamsung_Daeji-Seoul.html
메르시보니,4.5,2,프랑스 요리,서울 강남구 강남대로152길 69,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8532249-Reviews-Merci_Bonnie-Seoul.html
바랗,3.5,13,해산물,서울 도산대로 309,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8902794-Reviews-Barat-Seoul.html
뱃고동,4.0,2,점심식사,서울 언주로172길 54,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8953447-Reviews-Baetgodong-Seoul.html
오호리준 - 신사가로수길점,5.0,1,아시아 요리,서울 강남구 강남대로158길 10,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d16935697-Reviews-Ohori_Juun_Sinsa_Galosugil-Seoul.html
로켓크리스피치킨 - 압구정 로데오 2호점,4.0,2,아시아 요리,서울 강남구 언주로172길 51 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d15320347-Reviews-Rocket_Crispy_Chicken_Apgujeong_Rodeo_2nd_Store-Seoul.html
로켓크리스피치킨 - 압구정 로데오 2호점,4.0,2,아시아 요리,서울 강남구 언주로172길 51 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d15320347-Reviews-Rocket_Crispy_Chicken_Apgujeong_Rodeo_2nd_Store-Seoul.html
킨톤라멘 - 도산공원점,5.0,1,점심식사,서울 강남구 도산대로45길 10-5 지하 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d15785493-Reviews-Kinton_Ramen_Dosan_Park-Seoul.html
18 스텝스,4.0,3,와인 바,서울 강남구 압구정로10길 24 보성빌딩 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6876796-Reviews-18_Steps-Seoul.html
피오렌티나,5.0,1,이탈리아 요리,"서울 강남구 신사동 583-3  JB MISO빌딩 104호 #104, JB MISO Bldg.",https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4073898-Reviews-Piorentina-Seoul.html
살롱 그란데,4.5,2,이탈리아 요리,서울 강남구 압구정로4길 13-19,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6643573-Reviews-Salon_Grande-Seoul.html
아비꼬 압구정로데오점,4.0,2,일본 요리,서울 압구정로50길 22,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8934810-Reviews-Abiko_Curry-Seoul.html
에프앤비 가로수점,5.0,1,이탈리아 요리,서울 강남구 강남대로156길 46 지하 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12442890-Reviews-FNB_Garosu-Seoul.html
개화옥,3.0,9,아시아 요리,서울 강남구 신사동 661-18 정동상가 107호,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4078238-Reviews-Gaehwaok-Seoul.html
라그릴리아 청담점,4.0,1,그릴,서울 강남구 도산대로 327 SGF 청담타워 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14066831-Reviews-La_Grillia_Cheongdam-Seoul.html
타따블,4.0,1,자가 맥주 판매pub,서울 강남구 도산대로51길 39 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13276491-Reviews-Tha_Table-Seoul.html
보르 드 메르,4.0,1,프랑스 요리,서울 강남구 신사동 644-18,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3858680-Reviews-Bord_de_Mer-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
카페 앙 가로수길점,4.0,1,카페,서울 강남구 압구정로12길 32-6,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6818433-Reviews-Cafe_An_Garosugil-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1933588-Reviews-Wangbijib_Myeongdong_Main_Store-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1933588-Reviews-Wangbijib_Myeongdong_Main_Store-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
아라도,3.0,1,일본 요리,"서울 강남구  신사동 577 다보빌딩 105 #105, Dabo Bldg.",https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4072056-Reviews-Arado-Seoul.html
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1933588-Reviews-Wangbijib_Myeongdong_Main_Store-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
제주도마,3.0,1,아시아 요리,서울 강남구 압구정로2길 49,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13480403-Reviews-Jeju_Doma-Seoul.html
한추,3.0,8,아시아 요리,서울 논현로175길 68,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8984907-Reviews-Han_Chu-Seoul.html
JS가든,3.0,2,점심식사,서울 언주로174길 13,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9168508-Reviews-JS_Garden_Apgujeong-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1933588-Reviews-Wangbijib_Myeongdong_Main_Store-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
