,name,price,category,address,grade,info,service,phoneNum
0,알라 프리마,"120,000 - 240,000 KRW ", 이노베이티브,"강남구 학동로 17길 13, SEOUL, 대한민국","미쉐린 2스타:요리가 훌륭하여, 멀리찾아갈 만한 가치가 있는 레스토랑","늘 과감하고 창의적인 요리로 미식가들의 발길을 유혹하는 알라 프리마. 오픈된 주방이 한눈에 들어오는 넓은 카운터 테이블과 쾌적한 다이닝 홀, 그리고 프라이빗 다이닝 공간이 모던하게 펼쳐진다. 재료를 생명으로 여기는 김진혁 셰프의 요리는 깔끔한 소스, 맛의 밸런스, 그리고 계절 식재료들의 향연이라 할 수 있다. 와인뿐만 아니라 사케와도 잘 어울리는 이 곳의 모던 ...",발렛파킹 예약 필수 카운터 테이블 ,+82 2-511-2555
1,하네,"150,000 - 300,000 KRW ", 스시,"강남구 언주로 172길 14, SEOUL, 06017, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,"계절의 순리를 따르는 우수한 자연산 식재료를 맛본다는 건 미식의 큰 즐거움 중 하나이다. 자연산 식재료 사용을 고집하는 최주용 셰프의 스타일이 잘 구현된 ‘스시 하네’가 그런 즐거움을 만끽할 수 있는 레스토랑이다. 스시 하네에서는 재료의 선별부터 고객에게 스시 한 점을 건네는 일까지, 일련의 과정에서 셰프의 의도가 느껴지지만 요리 자체만으로도 특유의 매력을 즐기기에 ...",발렛파킹 신용카드 가능 에어컨 예약 필수  ,+82 10-9773-0887
2,고료리 켄,"220,000 KRW "," 컨템퍼러리, 재패니즈 컨템퍼러리","강남구 언주로 152길 15-3, 2층, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,요리에 매진하는 셰프의 움직임 하나하나를 지켜볼 수 있는 여덟 석의 한정된 공간. 김건 셰프는 이 새로운 공간에서 고료리 켄의 2막을 열었다. 직접 발로 뛰어 선별한 신선한 재료에 창의적인 아이디어와 현대적인 조리법이 더해진 김건 셰프의 요리에는 고료리 켄이 꾸준히 지향해온 정체성이 담겨 있다. 늘 신선한 양질의 재료를 고객에게 제공하기 위해 모든 ...,발렛파킹 에어컨 예약 필수 좋은 사케 리스트  ,+82 2-511-7809
3,가온,"130,000 - 260,000 KRW ", 한식,"강남구 도산대로 317, 호림아트센터 M층, SEOUL, 대한민국","미쉐린 3스타:요리가 매우 훌륭하여, 특별한 여행을 떠날 가치가 있는 레스토랑","'가온은 오래전부터 이어져온 전통 한식의 지혜를, 한국의 자연에서 얻은 식재료에 담아 요리로 만들어낸다. 이 과정을 주도하는 셰프는 음식에 대한 남다른 해석과 음식 연구에 대한 확신을 통해 가온에서만 경험할 수 있는 한식의 맛을 고객에게 전달한다. 가온을 이끄는 김병진 셰프와 한식 문화에 대한 자부심을 다양한 활동으로 표현해온 광주요의 하모니는 이러한 방식으로 현대적인 ...",발렛파킹 예약 필수 주차장 휠체어 가능 ,+82 2-545-9845
4,정식당,"78,000 - 230,000 KRW ", 컨템퍼러리,"강남구 선릉로 158길 11, SEOUL, 대한민국","미쉐린 2스타:요리가 훌륭하여, 멀리찾아갈 만한 가치가 있는 레스토랑","모던 한식 파인 다이닝을 개척한 장본인이라 평가받는 임정식 셰프는 자신의 이름을 내건 정식당 서울과 정식당 뉴욕을 통해 새롭고 창의적인 한식을 세계에 알리고 있다. 김밥, 비빔밥, 구절판, 보쌈 등 대중들이 친근하게 여기는 다양한 한식 요리에서 영감을 얻어 재해석한 독창적인 메뉴는 한국인에게 익숙한 맛을 기발하게 풀어내는 방식으로 한식의 맛과 멋을 동시에 만족시킨다. ...",발렛파킹 아주 좋은 와인 리스트 예약 필수 휠체어 가능 ,+82 2-517-4654
5,코지마,"200,000 - 380,000 KRW ", 스시,"강남구 압구정로 60길 21, 분더샵 6층, SEOUL, 대한민국","미쉐린 2스타:요리가 훌륭하여, 멀리찾아갈 만한 가치가 있는 레스토랑","조용하고 차분한 공간에서 오롯이 스시에만 집중할 수 있는 코지마. 재료 본연의 맛을 최대한 살리면서 샤리(밥)를 네타(생선)의 크기에 맞춰 소담하게 쥐어 주는 스시는, 박경재 셰프 본인의 모습과도 어딘가 닮아 있다. 꾸미지 않은 맛, 단순해 보이지만 여러 가지 맛이 담겨 있는 박 셰프의 스시는 매일 바뀌는 재료 본연의 맛을 최대한 끌어올려 풍부한 ...",발렛파킹 예약 필수 카운터 테이블 ,+82 2-2056-1291
6,스시 상현,"150,000 - 330,000 KRW ", 스시,"강남구 선릉로 146길 33, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,"같은 건물에서 이미 스시 레스토랑을 운영하고 있는 임상현 셰프가 본인의 이름을 걸고 1층에 새로 오픈한 스시 상현. 작은 공간에 6석의 카운터 좌석이 전부인 이곳은, 들어가는 문조차 버튼을 찾기 힘들 정도로 비밀스럽게 만들어졌다. 다양하고 화려한 재료의 츠마미를 비롯해 담백한 샤리와 네타가 우아한 밸런스를 보여준다. 과하지 않은 담백한 맛이 이곳만의 매력이다. 예약은 ...",발렛파킹 신용카드 가능 예약 필수 카운터 테이블 ,+82 2-545-2030
7,무오키,"70,000 - 160,000 KRW ", 컨템퍼러리,"강남구 학동로 55길 12-12, 2층, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,남아프리카 공화국 방언으로 ‘참나무’를 뜻하는 ‘무오키’는 박무현 셰프의 우직한 성격을 그대로 반영한 곳이다. 세계 다양한 지역에서 요리 경험을 쌓은 박 셰프는 본인만의 스타일을 녹여낸 음식을 제공하고자 이곳을 오픈했다. 새로운 조리법으로 뻔하지 않은 맛과 질감의 조화를 표현해내는 것을 즐기는 그의 메뉴엔 재료에 대한 깊은 이해 없인 만들 수 없는 재미있는 요리들이 ...,발렛파킹 예약 필수 카운터 테이블 ,+82 10-2948-4171
8,권숙수,"105,000 - 240,000 KRW ", 한식,"강남구 압구정로 80길 37, 4층, SEOUL, 대한민국","미쉐린 2스타:요리가 훌륭하여, 멀리찾아갈 만한 가치가 있는 레스토랑","‘전문 조리사’를 뜻하는 ‘숙수’에서 착안해 이름 지은 ‘권숙수’는 권우중 셰프의 한식 레스토랑이다. 이곳에선 한식의 기본 맛을 좌우하는 장, 젓갈, 식초 등을 직접 담가 사용하는데, 이러한 정성이 권숙수만의 기품 있는 요리를 완성한다. 제철 식재료 중에서도 좀 더 진귀한 재료를 선별하고, 흔한 식재료일지라도 창의적인 조합을 통해 새로운 요리로 탄생시키는 권 셰프의 노력과 ...",발렛파킹 아주 좋은 와인 리스트 예약 필수 ,+82 2-542-6268
9,밍글스,"150,000 - 250,000 KRW ", 컨템퍼러리,"강남구 도산대로 67길 19, 2층, SEOUL, 대한민국","미쉐린 2스타:요리가 훌륭하여, 멀리찾아갈 만한 가치가 있는 레스토랑","따뜻한 여백의 미가 돋보이는 밍글스. 실내 디자인, 한국 음식의 정갈한 멋을 한층 더 살려 주는 도예 기물, 여기에 주방을 이끄는 강민구 셰프의 젊고 감각적인 재능까지, 다양한 전문가들의 감각과 감성이 하나의 공간에 모여 있다. 초창기부터 뚜렷한 한국적 색채를 기반으로 전통과 현대의 경계를 자유롭게 넘나들며 밍글스만의 맛과 멋을 창조해온 강민구 셰프는 새로운 ...",발렛파킹 아주 좋은 와인 리스트 예약 필수 휠체어 가능 ,+82 2-515-7306
10,라미띠에,"110,000 - 225,000 KRW ", 프렌치,"강남구 도산대로 67길 30, 2층, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,"2006년부터 ‘정성의 온기가 담긴 프렌치 퀴진’을 선보여온 장명식 셰프의 ‘라미띠에’. 변함없는 안정감을 보여주는 이 곳은 촉촉하게 쪄낸 완도산 전복에 전복 내장 에스푸마와 향긋한 마늘 퓨레, 셀러리 피클을 곁들인 전복 요리, 그리고 샤프란 향이 매력적인 리소토에 빵가루를 입혀 바삭하게 튀겨낸 아란치니는 라미띠에의 요리가 가진 특징을 잘 보여주는 시그니처 메뉴다. 오랜 시간이 ...",발렛파킹 예약 필수 ,+82 2-546-9621
11,미토우,"220,000 KRW ", 일식,"강남구 도산대로 70길 24, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,"입구에 들어서는 순간부터 일본의 전통 요리집 분위기가 물씬 풍기는 ‘미토우’. 레스토랑의 단아한 인테리어가 권영운, 김보미 셰프의 정갈한 일본 요리와 조화를 이룬다. 미토우의 오마카세는 신선한 한국의 제철 식재료를 사용하기 때문에 메뉴가 매달 조금씩 달라진다. 가장 맛있는 식재료를 손님에게 대접하고자 하는 두 셰프의 끊임없는 도전 정신이 그대로 반영된 결과다. 미토우의 대표 요리는 ...",발렛파킹 예약 필수 좋은 사케 리스트 카운터 테이블 ,+82 10-7286-9914
12,무니,"180,000 - 250,000 KRW ", 일식,"강남구 도산대로 72길 16, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,"화려한 청담동의 뒷골목에서 무심코 지나치기 십상인 일본 요리 전문점 ‘무니’. 현실적인 이유로 주방에서 일을 하기 시작했다는 김동욱 셰프는 처음부터 오로지 일식에만 집중했고, 나날이 커져가는 요리에 대한 갈증을 해소하기 위해 일본으로 떠났다. 가이세키의 정석이라고 표현하기에는 한계가 있는 것이 사실이다. 하지만 자신이 부지런히 수집해온 그릇에 제철 요리를 담아 계절감을 뚜렷하게 표현해 내는 ...",발렛파킹 예약 필수 좋은 사케 리스트 카운터 테이블 ,+82 2-511-1303
13,스시 마츠모토,"130,000 - 250,000 KRW ", 스시,"강남구 도산대로 75길 5, SEOUL, 06015, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,마츠모토 미즈호 셰프는 정통성을 로컬에서 표현하는 데 일가견이 있다고 손꼽힌다. 스시 마츠모토는 트렌디함을 추구하기보다 그가 일본 본토에서 익힌 스시 요리를 로컬에서 그대로 재현하는 데 많은 노력을 기울이고 있다. 샤리와 네타의 구성과 조합은 물론 손님을 접대하는 자세에서도 그러한 노력을 확인할 수 있다. 인상적인 츠마미 라인과 풍미의 강약이 자연스레 흐르는 니기리의 구성은 ...,발렛파킹 신용카드 가능 에어컨 예약 필수   ,+82 2-543-4334
14,에빗,"100,000 - 220,000 KRW ", 이노베이티브,"강남구 도곡로 23길 33, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,전 세계를 유랑하며 식재료를 탐구하고 요리와 팝업 경험을 쌓아온 호주 출신 요리사가 선보이는 맛은 어떨까? 한국의 식재료에 매료되어 서울에 정착했다는 조셉 리저우드 셰프에게 흔하고 식상한 재료란 존재하지 않는다. 한국인에게 익숙한 우렁이를 퓌레처럼 부드럽게 갈아 크림소스와 함께 깻잎에 올려 내는 '우렁이'나 직접 채취한 야생 버섯으로 만든 아이스크림 등 '에빗'의 메뉴는 리저우드만의 ...,발렛파킹 예약 필수 주차장 ,+82 70-4231-1022
15,익스퀴진,"60,000 - 145,000 KRW ", 컨템퍼러리,"강남구 삼성로 140길 6, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,"장경원 셰프의 익스퀴진. 최대한 한국적인 재료를 사용하고 재료 각각의 개성에 초점을 맞춰 새로운 맛을 창조하고자 하는 셰프의 실험 정신이 그의 요리에 그대로 묻어난다. 레스토랑 내에서 직접 재배한 허브와 산지 직거래로 공급받는 싱싱한 재료로 만든 음식을 합리적인 가격에 제공한다. 점심 코스 메뉴와 저녁 코스 메뉴가 한 가지씩 준비되어 있고, 식재료나 주방 ...",발렛파킹 예약 필수 ,+82 2-542-6921
16,세븐스도어,"120,000 - 250,000 KRW ", 컨템퍼러리,"강남구 학동로 97길 41, 4층, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,김대천 셰프의 요리는 시간이 흐를수록 더욱 다양해지고 그 깊이를 더해 간다. 7th Door의 요리에서는 셰프가 지향하는 한식의 방향성을 경험할 수 있다. 그는 한식의 특징인 발효와 숙성을 주제로 삼아 자신만의 노하우와 정성을 담아 요리에 쓰일 재료를 준비한다. 이러한 과정을 거쳐 음식이 고객의 테이블에 오르기까지 김대천 셰프의 집중력과 아이디어가 요리에 재치 있게 ...,발렛파킹 신용카드 가능 예약 필수 카운터 테이블 ,+82 2-542-3010
17,코자차,"130,000 - 250,000 KRW ", 아시안,"강남구 학동로 97길 17, SEOUL, 대한민국",미쉐린 1스타: 요리가 훌륭한 레스토랑,"한국인 셰프가 (KO) 만드는 일식과(JA) 중식의(CHA) 만남이라는 의미의 코자차. 신라호텔 출신의 최유강, 조영두 셰프가 의기투합하여 색다른 장르의 음식을 선보인다. 1950-1960년대 빈티지 조명과 가구로 꾸민, 독특한 분위기의 장소에서부터 중식과 일식이 번갈아 나오는 코스 요리까지, 코자차에서는 고정관념을 깨는 경험이 가능하다. 황후가 쓰던 비눗갑에 담아낸 전복 냉채와 진한 상탕 육수로 끓인 샥스핀 찜이 ...",신용카드 가능 에어컨 예약 필수 ,+82 10-9023-7771
