Name,Score,Review,Link,Addr
카페노티드 청담,3.7,1881,https://place.map.kakao.com/348276052,"
서울 강남구 도산대로53길 15 1층
(지번) 신사동 654-9
"
꽁티드툴레아 도산점,3.2,841,https://place.map.kakao.com/179244712,"
서울 강남구 도산대로49길 39 1층
(지번) 신사동 646-21
"
호족반 청담,3.6,654,https://place.map.kakao.com/856589054,"
서울 강남구 언주로164길 39
(지번) 신사동 646-23
"
압구정공주떡,3.9,354,https://place.map.kakao.com/8746906,"
서울 강남구 논현로161길 10 1층
(지번) 신사동 569-31
"
리틀넥 청담,3.9,911,https://place.map.kakao.com/41523202,"
서울 강남구 도산대로51길 17 1층
(지번) 신사동 653-7
"
다운타우너 청담,4.2,575,https://place.map.kakao.com/1458885971,"
서울 강남구 도산대로53길 14 1층
(지번) 신사동 666-25
"
까폼 본점,4.3,293,https://place.map.kakao.com/558503389,"
서울 강남구 선릉로153길 18 지하1층
(지번) 신사동 655-15
"
카츠바이콘반,4.3,496,https://place.map.kakao.com/1480354584,"
서울 강남구 선릉로153길 36 1층
(지번) 신사동 647-22
"
카페캠프통,3.7,779,https://place.map.kakao.com/858715549,"
서울 강남구 압구정로42길 27
(지번) 신사동 643-22
"
뱃고동,3.4,324,https://place.map.kakao.com/25046575,"
서울 강남구 언주로172길 54 지하 1층
(지번) 신사동 663
"
쮸즈,3.7,426,https://place.map.kakao.com/24371711,"
서울 강남구 도산대로17길 13
(지번) 신사동 540-4
"
한일관 압구정점,3.4,60,https://place.map.kakao.com/8475048,"
서울 강남구 압구정로38길 14
(지번) 신사동 619-4
"
맘마미아,3.1,1009,https://place.map.kakao.com/1168471307,"
서울 강남구 압구정로42길 45
(지번) 신사동 645-26
"
마일스톤커피,4.3,332,https://place.map.kakao.com/22549791,"
서울 강남구 논현로159길 49 1층
(지번) 신사동 554-4
"
은행골 신사점,4,378,https://place.map.kakao.com/18948155,"
서울 강남구 강남대로152길 42 2층
(지번) 신사동 537-2
"
일일향 1호점,2.9,114,https://place.map.kakao.com/66544493,"
서울 강남구 논현로168길 30
(지번) 신사동 595
"
텍사스데브라질 압구정점,3.7,205,https://place.map.kakao.com/1248615345,"
서울 강남구 논현로 854 지하 1층
(지번) 신사동 603-1
"
오리지널 팬케이크하우스 가로수길점,3.5,148,https://place.map.kakao.com/19808159,"
서울 강남구 강남대로162길 41 동원빌딩
(지번) 신사동 523-20
"
오복수산 도산점,3.6,322,https://place.map.kakao.com/652287285,"
서울 강남구 도산대로53길 14 2층
(지번) 신사동 666-25
"
아우어베이커리 가로수길점,4,589,https://place.map.kakao.com/935826913,"
서울 강남구 강남대로162길 39
(지번) 신사동 523-19
"
최가네 버섯샤브매운탕칼국수,4.6,218,https://place.map.kakao.com/8098721,"
서울 강남구 도산대로51길 36 2층
(지번) 신사동 655
"
묵전,3.8,145,https://place.map.kakao.com/14532428,"
서울 강남구 언주로168길 22
(지번) 신사동 645-11
"
뉴만두집,3.7,170,https://place.map.kakao.com/13092552,"
서울 강남구 압구정로 338
(지번) 신사동 661-1
"
온달집 본점,3.7,246,https://place.map.kakao.com/251456396,"
서울 강남구 강남대로152길 28 1층
(지번) 신사동 514-4
"
도산분식 압구정점,3,327,https://place.map.kakao.com/429895682,"
서울 강남구 도산대로49길 10-6 젤로빌딩 1층
(지번) 신사동 652-7
"
블루보틀 압구정 카페,3.3,176,https://place.map.kakao.com/1720885570,"
서울 강남구 논현로 854 안다즈호텔 101호
(지번) 신사동 610-6
"
C27 가로수길본점,3.3,286,https://place.map.kakao.com/27220692,"
서울 강남구 도산대로15길 39
(지번) 신사동 545-12
"
더페이머스버거 신사점,3.7,253,https://place.map.kakao.com/2133130811,"
서울 강남구 도산대로 113
(지번) 신사동 513-4
"
브루클린더버거조인트 가로수길점,3.9,470,https://place.map.kakao.com/26856753,"
서울 강남구 도산대로15길 12 YG빌딩 1층
(지번) 신사동 540-11
"
삼원가든,,56,https://place.map.kakao.com/19351143,"
서울 강남구 신사동 623-8

"
칙피스 가로수길점,4,327,https://place.map.kakao.com/714223410,"
서울 강남구 강남대로152길 69 1층
(지번) 신사동 540-18
"
아우어베이커리 도산본점,3.4,272,https://place.map.kakao.com/833400817,"
서울 강남구 도산대로45길 10-11 1층
(지번) 신사동 648-14
"
잠수교집 5호점,3.3,154,https://place.map.kakao.com/1508981188,"
서울 강남구 언주로153길 14 1층
(지번) 신사동 626-71
"
도수향,3.2,102,https://place.map.kakao.com/11426596,"
서울 강남구 선릉로161길 21-4 1층
(지번) 신사동 662-7
"
도쿄등심 압구정점,3.6,406,https://place.map.kakao.com/1413701364,"
서울 강남구 도산대로49길 9 스타크빌딩 3층
(지번) 신사동 651-19
"
강남면옥 신사점,3.3,79,https://place.map.kakao.com/8163082,"
서울 강남구 논현로152길 34 1층
(지번) 신사동 588-9
"
청초수물회섭국 강남점,3.8,81,https://place.map.kakao.com/699742929,"
서울 강남구 압구정로28길 24
(지번) 신사동 576-6
"
테일러커피 신사점,4.4,234,https://place.map.kakao.com/530432745,"
서울 강남구 강남대로160길 31 1층
(지번) 신사동 521-17
"
압구정곱창,4,138,https://place.map.kakao.com/27402317,"
서울 강남구 압구정로42길 25-8
(지번) 신사동 643-21
"
송쉐프,3.6,138,https://place.map.kakao.com/1262079557,"
서울 강남구 도산대로1길 40
(지번) 신사동 507-11
"
미미면가 본점,3.6,407,https://place.map.kakao.com/18324313,"
서울 강남구 강남대로160길 29 1층
(지번) 신사동 521-16
"
신사모소리,4.6,172,https://place.map.kakao.com/2073285111,"
서울 강남구 도산대로1길 24
(지번) 신사동 510
"
한잔의추억,3,291,https://place.map.kakao.com/12250697,"
서울 강남구 논현로175길 68
(지번) 신사동 549-9
"
소진담 신사점,4,377,https://place.map.kakao.com/2120434164,"
서울 강남구 논현로161길 51 지하1층, 1층
(지번) 신사동 551-23
"
청담돈,,504,https://place.map.kakao.com/1534951720,"
서울 강남구 도산대로49길 11 2층
(지번) 신사동 648-13
"
어썸로즈,3.9,368,https://place.map.kakao.com/868486733,"
서울 강남구 압구정로10길 40 지하1층
(지번) 신사동 520-7
"
오스테리아 꼬또 압구정점,3.2,214,https://place.map.kakao.com/24949293,"
서울 강남구 언주로165길 7-12
(지번) 신사동 624-20
"
콴안다오,4.3,343,https://place.map.kakao.com/1083471895,"
서울 강남구 강남대로156길 28-2 1층
(지번) 신사동 516-2
"
압구정하루,4.1,203,https://place.map.kakao.com/10867025,"
서울 강남구 언주로172길 56 1층
(지번) 신사동 663-9
"
정돈프리미엄,3.9,215,https://place.map.kakao.com/1402068738,"
서울 강남구 강남대로160길 28
(지번) 신사동 519-4
"
루위,3.3,248,https://place.map.kakao.com/850712723,"
서울 강남구 도산대로 211
(지번) 신사동 587-14
"
신미식당,3.7,52,https://place.map.kakao.com/11892123,"
서울 강남구 압구정로 214 1층
(지번) 신사동 615
"
금수복국 압구정점,3.5,44,https://place.map.kakao.com/8203089,"
서울 강남구 언주로 821 금수빌딩 2,3층
(지번) 신사동 627-13
"
온기정,3.2,356,https://place.map.kakao.com/476435584,"
서울 강남구 압구정로4길 13-9 1층
(지번) 신사동 525-15
"
버터풀&크리멀러스,4.3,193,https://place.map.kakao.com/305164716,"
서울 강남구 언주로172길 59 삼두빌딩 1층
(지번) 신사동 662-11
"
어성,4.1,152,https://place.map.kakao.com/1062520073,"
서울 강남구 언주로 843 2층
(지번) 신사동 623-1
"
에뚜왈,4.2,392,https://place.map.kakao.com/431521088,"
서울 강남구 압구정로10길 35 지하1층
(지번) 신사동 534-8
"
백곰막걸리,3.4,125,https://place.map.kakao.com/1151874015,"
서울 강남구 압구정로48길 39
(지번) 신사동 657-7
"
이치에,3.7,132,https://place.map.kakao.com/18835270,"
서울 강남구 선릉로155길 23-3 2층
(지번) 신사동 656-7
"
세시셀라 도산공원점,3.7,230,https://place.map.kakao.com/7948829,"
서울 강남구 도산대로45길 10-4 삼경빌딩 1층
(지번) 신사동 651-4
"
명인등심 압구정직영점,4.3,41,https://place.map.kakao.com/21401237,"
서울 강남구 도산대로 211
(지번) 신사동 587-15
"
감성타코 가로수길점,2.8,139,https://place.map.kakao.com/290249009,"
서울 강남구 가로수길 26 3층
(지번) 신사동 542-6
"
비파티세리 신사점,4.2,218,https://place.map.kakao.com/1619459483,"
서울 강남구 압구정로14길 36 1~4층
(지번) 신사동 546-17
"
오엔 카페앤레스토랑,2.6,200,https://place.map.kakao.com/1348877274,"
서울 강남구 압구정로11길 37-30 한강공원 잠원지구
(지번) 압구정동 380-2
"
뻐꾸기,3.7,46,https://place.map.kakao.com/7913187,"
서울 강남구 도산대로17길 4
(지번) 신사동 561-17
"
펠트커피 도산공원점,3.8,125,https://place.map.kakao.com/1996014742,"
서울 강남구 언주로164길 23
(지번) 신사동 645-21
"
천미미,3.9,63,https://place.map.kakao.com/791775664,"
서울 강남구 강남대로152길 11 1층
(지번) 신사동 512-19
"
새들러하우스,2.3,55,https://place.map.kakao.com/1730645952,"
서울 강남구 도산대로17길 10 지하 1층
(지번) 신사동 561-8
"
두레국수 신사점,3.2,51,https://place.map.kakao.com/7851144,"
서울 강남구 도산대로37길 28
(지번) 신사동 626-79
"
클랩피자,3.9,273,https://place.map.kakao.com/630957832,"
서울 강남구 압구정로46길 71 1층
(지번) 신사동 648-24
"
타르틴베이커리 도산점,3.4,349,https://place.map.kakao.com/1550956442,"
서울 강남구 언주로168길 24 1,2층
(지번) 신사동 645-18
"
벽돌해피푸드 압구정점,3.5,202,https://place.map.kakao.com/7894375,"
서울 강남구 도산대로51길 36 1층
(지번) 신사동 655
"
코다차야,2.3,25,https://place.map.kakao.com/15104085,"
서울 강남구 압구정로14길 6 지하1층
(지번) 신사동 548-4
"
파씨오네,4.4,173,https://place.map.kakao.com/18074322,"
서울 강남구 언주로164길 39 2층
(지번) 신사동 646-23
"
길버트버거앤프라이즈 가로수점,4.3,98,https://place.map.kakao.com/24856468,"
서울 강남구 도산대로15길 47
(지번) 신사동 545-3
"
엘피노323,4.2,63,https://place.map.kakao.com/1290897759,"
서울 강남구 강남대로 652 신사스퀘어 2층 205호
(지번) 신사동 504-11
"
파넬카페,3.5,108,https://place.map.kakao.com/1169822758,"
서울 강남구 언주로164길 14
(지번) 신사동 649-2
"
고급오복수산,4.4,222,https://place.map.kakao.com/665905539,"
서울 강남구 논현로 854 지하 1층
(지번) 신사동 603-1
"
잭슨피자 압구정점,4.2,143,https://place.map.kakao.com/2415009,"
서울 강남구 압구정로 144 1층 107호, 108호
(지번) 신사동 574
"
대막,3.7,552,https://place.map.kakao.com/1415112461,"
서울 강남구 압구정로46길 75 1층
(지번) 신사동 648-19
"
카페그라쎄,4.3,79,https://place.map.kakao.com/1568720995,"
서울 강남구 도산대로17길 19 온암빌딩 1층
(지번) 신사동 543-11
"
논탄토,3.8,163,https://place.map.kakao.com/1863764320,"
서울 강남구 도산대로17길 35
(지번) 신사동 544-23
"
파시0914,3.5,58,https://place.map.kakao.com/27196653,"
서울 강남구 도산대로45길 15 지하 1층
(지번) 신사동 631-35
"
마법갈비요술꼬치,3.4,51,https://place.map.kakao.com/1586875098,"
서울 강남구 선릉로157길 26 1,2층
(지번) 신사동 663-28
"
롸카두들 핫치킨 압구정점,4.5,237,https://place.map.kakao.com/83108266,"
서울 강남구 언주로164길 35-3 1층
(지번) 신사동 646-8
"
스시선수,4.5,92,https://place.map.kakao.com/15270381,"
서울 강남구 도산대로45길 6 호림아트센터 지하M층
(지번) 신사동 651-16
"
네기다이닝라운지,4.6,117,https://place.map.kakao.com/544200314,"
서울 강남구 도산대로15길 18 4층
(지번) 신사동 540
"
우가,4.1,46,https://place.map.kakao.com/1523827641,"
서울 강남구 도산대로49길 22 지하1층
(지번) 신사동 653-20
"
가담,3.8,91,https://place.map.kakao.com/10954377,"
서울 강남구 언주로167길 35
(지번) 신사동 608-8
"
듀자미,3,236,https://place.map.kakao.com/12983903,"
서울 강남구 도산대로11길 28 1층
(지번) 신사동 535-9
"
JS가든 압구정점,4,52,https://place.map.kakao.com/21357386,"
서울 강남구 언주로174길 13 미소빌딩 2층
(지번) 신사동 638-9
"
샤블리,3.8,297,https://place.map.kakao.com/7781842,"
서울 강남구 강남대로152길 35 2층
(지번) 신사동 515-9
"
신사소곱창,3.2,124,https://place.map.kakao.com/13571132,"
서울 강남구 압구정로2길 62
(지번) 신사동 512-10
"
노아베이커리 압구정본점,3.8,120,https://place.map.kakao.com/19561065,"
서울 강남구 압구정로30길 9 노아빌딩 4층
(지번) 신사동 612
"
홍미닭발 신사본점,3.2,117,https://place.map.kakao.com/8621048,"
서울 강남구 도산대로1길 6
(지번) 신사동 513
"
교대이층집 신사점,3.6,69,https://place.map.kakao.com/1712324675,"
서울 강남구 강남대로152길 17 1, 2층
(지번) 신사동 512-16
"
골뱅이신사,2.9,166,https://place.map.kakao.com/1874065715,"
서울 강남구 강남대로156길 32 지하1층
(지번) 신사동 516-6
"
웨이크&베이크,3.8,206,https://place.map.kakao.com/390949389,"
서울 강남구 압구정로42길 47 1층
(지번) 신사동 645-27
"
심양 청담본점,3.1,76,https://place.map.kakao.com/1068851079,"
서울 강남구 선릉로161길 21 영빌딩 1층
(지번) 신사동 662-8
"
치즈룸,3.9,423,https://place.map.kakao.com/2007335630,"
서울 강남구 논현로 854 안다즈호텔 지하1층 112,113호
(지번) 신사동 603-1
"
당옥,3.5,92,https://place.map.kakao.com/280071417,"
서울 강남구 강남대로162길 22 1층 101호
(지번) 신사동 521-5
"
볼피노,3.8,209,https://place.map.kakao.com/1617813108,"
서울 강남구 도산대로45길 10-7 삼희2빌딩 1층
(지번) 신사동 650-12
"
강서면옥 압구정점,3.6,74,https://place.map.kakao.com/8177726,"
서울 강남구 언주로164길 19 1,2층
(지번) 신사동 645-30
"
지아니스나폴리 가로수길점,4,76,https://place.map.kakao.com/19292399,"
서울 강남구 도산대로15길 15 2층
(지번) 신사동 541-6
"
우와 가로수길점,3.7,49,https://place.map.kakao.com/2136148310,"
서울 강남구 강남대로158길 17 1층
(지번) 신사동 508-8
"
카페키츠네 서울,3.8,207,https://place.map.kakao.com/1104225959,"
서울 강남구 가로수길 23
(지번) 신사동 535-13
"
옛향기가득한 동인동,3.9,28,https://place.map.kakao.com/7847225,"
서울 강남구 강남대로156길 14 정금빌딩 1층
(지번) 신사동 511-4
"
빵어니스타 압구정점,3.6,82,https://place.map.kakao.com/403091279,"
서울 강남구 도산대로25길 43 1층
(지번) 신사동 553-25
"
닭으로가 압구정본점,3.3,126,https://place.map.kakao.com/12445208,"
서울 강남구 언주로172길 55
(지번) 신사동 662-6
"
목포집 본점,3.4,154,https://place.map.kakao.com/26314261,"
서울 강남구 강남대로152길 24
(지번) 신사동 514-3
"
리틀사이공 압구정본점,3.8,59,https://place.map.kakao.com/13064473,"
서울 강남구 언주로174길 26
(지번) 신사동 640-1
"
몽고네,3.5,69,https://place.map.kakao.com/436651553,"
서울 강남구 선릉로155길 5 승승장구빌딩 1층
(지번) 신사동 665-11
"
감성타코앤그릴 신사점,3.5,13,https://place.map.kakao.com/26811268,"
서울 강남구 강남대로162길 31
(지번) 신사동 523-16
"
바빌리안테이블,4.4,181,https://place.map.kakao.com/25702460,"
서울 강남구 압구정로46길 5-2 원일빌딩 2층
(지번) 신사동 660-18
"
춘식당,3.4,136,https://place.map.kakao.com/137451961,"
서울 강남구 도산대로23길 17
(지번) 신사동 559-10
"
골드피쉬딤섬퀴진,3.8,129,https://place.map.kakao.com/24010315,"
서울 강남구 압구정로48길 35 2층
(지번) 신사동 657-5
"
갓포아키 도산공원점,4.2,57,https://place.map.kakao.com/19381618,"
서울 강남구 도산대로45길 8-3 2층
(지번) 신사동 651-5
"
압구정면옥,4.1,99,https://place.map.kakao.com/1224432398,"
서울 강남구 압구정로30길 16 1층
(지번) 신사동 610-3
"
웻커피 신사점,3.4,187,https://place.map.kakao.com/1194636005,"
서울 강남구 강남대로162길 18
(지번) 신사동 507-3
"
노모어피자,3.9,528,https://place.map.kakao.com/1748189002,"
서울 강남구 언주로164길 34-2 1층
(지번) 신사동 647-2
"
리커테이션,4.3,171,https://place.map.kakao.com/1768655445,"
서울 강남구 압구정로10길 13 지하1층
(지번) 신사동 532-4
"
르알래스카 가로수길점,3.8,100,https://place.map.kakao.com/17884613,"
서울 강남구 압구정로14길 15
(지번) 신사동 550-22
"
우미학,3.7,94,https://place.map.kakao.com/26821640,"
서울 강남구 압구정로30길 51 I.S.A빌딩 2층
(지번) 신사동 600-1
"
대봉집 신사본점,4.3,91,https://place.map.kakao.com/1853910181,"
서울 강남구 압구정로2길 57
(지번) 신사동 516-18
"
키친마이야르,4.4,99,https://place.map.kakao.com/234127678,"
서울 강남구 언주로170길 22 지하 1층
(지번) 신사동 644-6
"
식물학,3.6,183,https://place.map.kakao.com/2119458323,"
서울 강남구 강남대로154길 33
(지번) 신사동 516-16
"
스시이토,3.7,115,https://place.map.kakao.com/1753279987,"
서울 강남구 선릉로153길 22 4층
(지번) 신사동 656-15
"
양식당더램키친,4.2,45,https://place.map.kakao.com/19716587,"
서울 강남구 압구정로8길 5 2층
(지번) 신사동 529-6
"
하모,3.6,34,https://place.map.kakao.com/17806264,"
서울 강남구 언주로 819 HB빌딩 2층
(지번) 신사동 627-17
"
호화반점,3.2,60,https://place.map.kakao.com/9597852,"
서울 강남구 선릉로161길 5 1,2층
(지번) 신사동 664-25
"
신사전,3.9,136,https://place.map.kakao.com/478360598,"
서울 강남구 도산대로11길 18 1층 1호
(지번) 신사동 536-3
"
장다리,4.4,152,https://place.map.kakao.com/1321722203,"
서울 강남구 압구정로46길 5-14 1층
(지번) 신사동 660-13
"
세인트그릴,4.1,142,https://place.map.kakao.com/402310476,"
서울 강남구 논현로175길 63 1층
(지번) 신사동 550-8
"
가온,1.8,37,https://place.map.kakao.com/26796590,"
서울 강남구 도산대로 317 호림아트센터 M층
(지번) 신사동 651-27
"
마사타코,3.9,85,https://place.map.kakao.com/2137508291,"
서울 강남구 압구정로10길 30-8 1층
(지번) 신사동 524-29
"
대가방 압구정점,4,27,https://place.map.kakao.com/12387446,"
서울 강남구 논현로175길 64
(지번) 신사동 549-8
"
스킬렛 스테이크하우스,3.4,244,https://place.map.kakao.com/26473203,"
서울 강남구 논현로161길 57 머시주스빌딩 2층
(지번) 신사동 551-11
"
누데이크 하우스도산,3.4,374,https://place.map.kakao.com/507311553,"
서울 강남구 압구정로46길 50 지하1층
(지번) 신사동 649-8
"
제이앤제이슨X,3.4,83,https://place.map.kakao.com/737109232,"
서울 강남구 도산대로49길 31 아뜨레빌딩 지하 1층
(지번) 신사동 647-14
"
쉐이크쉑 청담점,3.6,262,https://place.map.kakao.com/819346791,"
서울 강남구 도산대로 327 SGF청담타워 1층
(지번) 신사동 652-16
"
인딕슬로우,4.4,156,https://place.map.kakao.com/1104467407,"
서울 강남구 압구정로4길 13 1층
(지번) 신사동 525-4
"
로로,3.4,456,https://place.map.kakao.com/205641442,"
서울 강남구 언주로164길 35 1,2층
(지번) 신사동 646-7
"
랜디스도넛 신사가로수길점,3.7,197,https://place.map.kakao.com/1197924993,"
서울 강남구 도산대로15길 16
(지번) 신사동 540-9
"
고반식당 가로수길점,3.7,160,https://place.map.kakao.com/1229874963,"
서울 강남구 강남대로156길 34 1층
(지번) 신사동 516-7
"
경복궁불고기 압구정점,3.7,17,https://place.map.kakao.com/14529630,"
서울 강남구 압구정로30길 51 I.S.A빌딩 지하1층
(지번) 신사동 600
"
르브런쉭,3.6,41,https://place.map.kakao.com/12684201,"
서울 강남구 강남대로162길 41-22 1층 102호
(지번) 신사동 524
"
무탄,,488,https://place.map.kakao.com/1696571508,"
서울 강남구 논현로176길 22 1층
(지번) 신사동 613-2
"
더앨리 가로수길점,3.3,65,https://place.map.kakao.com/527142044,"
서울 강남구 가로수길 75 1,2층
(지번) 신사동 532-10
"
루비떡볶이,3.2,175,https://place.map.kakao.com/20125427,"
서울 강남구 선릉로153길 21
(지번) 신사동 653-2
"
우시야,4.2,70,https://place.map.kakao.com/27150396,"
서울 강남구 논현로159길 11 1층
(지번) 신사동 566-29
"
가디록,3.7,53,https://place.map.kakao.com/617483759,"
서울 강남구 도산대로45길 18-4 2층
(지번) 신사동 650-5
"
와라야끼 쿠이신보,3.7,50,https://place.map.kakao.com/27415522,"
서울 강남구 도산대로15길 6
(지번) 신사동 539
"
쇼토,4.3,111,https://place.map.kakao.com/1745920539,"
서울 강남구 압구정로18길 14-6 1층
(지번) 신사동 550-14
"
커피라이터,4.5,25,https://place.map.kakao.com/884437781,"
서울 강남구 논현로161길 15 1층
(지번) 신사동 567-17
"
고디바 가로수길플래그쉽,3.8,55,https://place.map.kakao.com/19160580,"
서울 강남구 가로수길 46 1,2층
(지번) 신사동 545-6
"
딩딤1968,3.3,102,https://place.map.kakao.com/1332784474,"
서울 강남구 강남대로160길 27
(지번) 신사동 521-10
"
막이오름 가로수길점,3.7,106,https://place.map.kakao.com/90994097,"
서울 강남구 가로수길 10 2층
(지번) 신사동 541-17
"
우텐더,3.7,53,https://place.map.kakao.com/616148679,"
서울 강남구 압구정로42길 25-10
(지번) 신사동 643-20
"
빠레뜨한남 가로수길,3,482,https://place.map.kakao.com/1628436434,"
서울 강남구 논현로153길 61 2층
(지번) 신사동 542-1
"
안동국시,3.4,19,https://place.map.kakao.com/10583440,"
서울 강남구 언주로167길 46 제일빌딩 2층
(지번) 신사동 612-2
"
신사연어,3.5,78,https://place.map.kakao.com/26324314,"
서울 강남구 압구정로2길 60 MG타워 2층
(지번) 신사동 512-9
"
삼화식당1972,4.9,116,https://place.map.kakao.com/919194809,"
서울 강남구 강남대로152길 15
(지번) 신사동 512-17
"
타코벨 압구정점,2.6,9,https://place.map.kakao.com/1983387531,"
서울 강남구 압구정로28길 22 1층
(지번) 신사동 577-7
"
보울룸,3.9,262,https://place.map.kakao.com/1562438951,"
서울 강남구 압구정로42길 36 금광아크존1 1층 103호
(지번) 신사동 635-14
"
마구로젠 신사점,4.3,61,https://place.map.kakao.com/13096872,"
서울 강남구 논현로151길 20 태화빌딩 1층
(지번) 신사동 562-14
"
