name|price
런던 베이글 뮤지엄 도산점|4675.0
꽁티드툴레아|8500.0
뉴만두집|28000.0
카페무니 압구정본점|9125.0
포스터리 베이커|0.0
압구정하루|8875.0
온기정|26750.0
카페 노티드 청담|3375.0
리틀넥 청담|13000.0
호족반|12300.0
쮸즈|6250.0
까폼|14500.0
벽돌해피푸드 압구정점|17250.0
미미면가|15500.0
아우어베이커리 가로수길점|4550.0
달마시안|16000.0
삼원가든|82500.0
묵전|21857.14286
올리버|26500.0
카멜커피|5500.0
오스테리아 꼬또 압구정점|28000.0
달래해장|16250.0
마일스톤 커피|5125.0
대막|18000.0
뉴욕라츠오베이글스|0.0
아베크 청담|27250.0
다운타우너 청담|8050.0
우와|17500.0
플레이버스 바이 바프|19000.0
신사전|22750.0
파넬|25250.0
브루클린더버거조인트 가로수길점|8800.0
한올|31750.0
무탄|37000.0
르브런쉭 신사점|18900.0
뱃고동|15125.0
클랩피자 청담점|8400.0
지아니스나폴리 가로수길점|17000.0
콴안다오|8625.0
카츠바이콘반|16500.0
카이센동 우니도|24000.0
핫쵸|14250.0
선데이 버거 클럽|8750.0
도산분식 도산공원점|8400.0
도산맘마미아|5900.0
강남면옥 본점|50750.0
샌드커피 논탄토 신사|5875.0
다이닝 목로|21000.0
안동국시|17750.0
텍사스데브라질 압구정점|60500.0
한추|19250.0
갓잇 도산공원점|46750.0
맥주덕후 피자덕후|44333.33333
오복수산 도산|43750.0
효계|22000.0
압구정 곱창|28500.0
에뚜왈|3175.0
청담돈|26550.0
워커비|15000.0
키친마이야르|22500.0
오리지널팬케이크하우스 가로수길점|20500.0
치즈룸 안다즈|23333.33333
온달집 본점|12000.0
웨이크앤베이크 청담|11250.0
최가네버섯샤브매운탕칼국수|13750.0
이웃집통통이 로데오점|4075.0
누데이크 하우스 도산|34750.0
심퍼티쿠시 가로수길점|18000.0
SADDLER HAUS|9280.0
청초수물회 강남점|26500.0
진도켄 이자카야|29250.0
ING|18250.0
은행골 신사점|20000.0
모센즈스위트 신사점|6375.0
어썸로즈|39375.0
소진담 신사점|13500.0
피자네버슬립스|23000.0
로로|25500.0
온리고|21666.66667
타르틴베이커리 도산점|6875.0
파씨오네|75000.0
우가|36750.0
포레스트 청담|46500.0
마망갸또 신사점|9000.0
백곰막걸리|25000.0
웍셔너리|15800.0
패티앤베지스|8300.0
비파티세리|5950.0
강서면옥 압구정점|37000.0
삼창교자|14500.0
감성타코 신사점|16950.0
키마스시 청담|21000.0
일일향 압구정1호점|26875.0
애니오케이션 청담|4000.0
마사 타코|11625.0
다이칸야마키친|13000.0
C27 가로수길점|7150.0
부쉬윅|25750.0
호호식당 도산공원|14750.0
칙피스 신사점|14250.0
콘유|15000.0
콘피에르|59000.0
롸카두들 내쉬빌 핫치킨 압구정|8700.0
임프레션|0.0
벙커컴퍼니 압구정점|5000.0
보타르가|38000.0
메리고라운드 스테이크|48000.0
신미식당|21250.0
압구정제주집|40250.0
얼오브샌드위치 압구정로데오점|9900.0
감성타코 가로수길점|16950.0
웜브라운 베이커리카페|0.0
한남베르그 도산|6750.0
을지다락 도산공원|15750.0
지강낙곱새 압구정본점|16000.0
그랑씨엘|33250.0
Just Steak|17275.0
샤블리|29500.0
호쿠모쿠|15000.0
도쿄등심 압구정점|79000.0
길버트버거앤프라이즈|10625.0
듀자미|25350.0
마이쏭|18000.0
이끼롤까스 가로수길점|14500.0
레브|19250.0
갓포아키 도산공원점|32000.0
세시셀라 도산공원점|10150.0
마르르 본점|14500.0
온다|26500.0
안다즈서울강남 조각보|65125.0
소이연남마오|17250.0
스킬렛 스테이크하우스|90666.66667
야사이마끼 쿠이신보|14475.0
장다리곱창|24500.0
Lu307 이자카야|24875.0
갓포 히미츠 X 뱅가드 하이파이 뮤직 라운지|21500.0
디크루즈|46000.0
골드피쉬 딤섬퀴진|14000.0
엘피노323|14966.66667
쿠라우니|6000.0
목포집|40000.0
PEACH|12875.0
프레즈드로이|24000.0
이치서울|7000.0
펠트커피 도산공원점|4750.0
네기다이닝라운지|40000.0
제이앤제이슨 X|20500.0
빠레뜨한남 가로수길점|15000.0
고트델리 압구정|10750.0
우미학|47500.0
뮤즈온|15000.0
정돈프리미엄 신사점|21000.0
선셋스위밍 샌드위치|5700.0
프레임|21250.0
노모어피자|23750.0
타코앤칠리|8500.0
스시츠바사|60000.0
플링크 압구정|4500.0
김북순큰남비집 신사본점|11250.0
아우어베이커리 도산본점|4825.0
우시야 본점|79000.0
Bowl Room|5375.0
신사 모소리|13500.0
천미미|36500.0
오엔|124000.0
이치에|37250.0
텔러스 9.5|9000.0
더플레이트디저트|4075.0
사브서울|24500.0
신사숙녀|27000.0
어물전 청 도산공원점|80000.0
아가젤라또|17000.0
바빌리안테이블|48100.0
핀치브런치바|0.0
더페이머스버거 신사점|9833.333333
대봉집 신사본점|13500.0
랜디스도넛 가로수길점|2880.0
당옥|13000.0
뮤지드아트|5875.0
UPPERWEST|27250.0
카페 아뮈제 도산|8500.0
우돈청|21500.0
플르서라구뜨|19750.0
리마크스|22250.0
스몰디쉬빅쇼|9875.0
시추안하우스 압구정점|41750.0
에이커스|12250.0
잠수교집 5호점|11750.0
청수당갤러리|11775.0
식물학|6375.0
카페 마당|26875.0
파시0914|22000.0
미우|48750.0
을지다락 가로수길|15750.0
형훈 텐동|12350.0
심양 청담본점|22500.0
나따오비까 신사점|2800.0
스시선수|65000.0
딩딤1968|7625.0
크라운돼지|36000.0
미분당 신사점|9625.0
미드타운|0.0
솔솥 청담점|17250.0
플디 도산점|18975.0
양철지붕|18750.0
고반식당 가로수길점|27750.0
디저트로이|3500.0
스시 이토|150000.0
카페 노티드 신사 옐로우바스켓 팝업|4000.0
소각|18500.0
Poke all day 포케&샐러드 신사점|10050.0
쉐이크쉑 청담점|6725.0
볼피노|27250.0
씨네드쉐프 압구정|74500.0
닭으로가 압구정본점|15750.0
식물성 도산|6500.0
소적두 압구정점|4650.0
스시사카우|79500.0
서울러|22000.0
뻐꾸기 본점|17500.0
더 키친 일뽀르노 청담점|19800.0
사이|38750.0
더페이머스버거 압구정점|9575.0
홍미닭발 신사본점|17250.0
르알래스카 가로수길 본점|7000.0
오르비에토|15250.0
한일관 압구정점|31250.0
우텐더|66000.0
카페그라쎄|23000.0
윌비 가로수길점|4550.0
바랗|28750.0
모던오뎅|10500.0
Ginos NY Pizza 압구정점|15000.0
구들|32250.0
온천집 스키야키|48000.0
스페인클럽 가로수본점|24750.0
맥파이앤타이거 신사티룸|15000.0
트라가 가로수길점|65500.0
678치킨앤버거 압구정점|7900.0
장 스테이크|47666.66667
꿍탈레|12000.0
베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어|4900.0
메종 사우스케이프|25750.0
고급오복수산|48500.0
휴고 도산|21750.0
목탄장 도산점|0.0
안주집|16500.0
송쉐프|31750.0
골뱅이신사|46500.0
도레도레 신사점|40625.0
신사시장 떡볶이집|4125.0
마담타이 신사점|13950.0
쇼토|6000.0
지구당 신사점|6725.0
카페드로우지|19500.0
스미비부타동 압구정점|12000.0
ebt|25000.0
변두리비스트로|21000.0
스구식탁 가로수길점|14766.66667
소나|23000.0
호화반점|26000.0
마치래빗 샐러드 신사동가로수길본점|0.0
봄의정원 가로수길점|16000.0
금별맥주 강남신사점|13900.0
우모크|137500.0
매덕스피자 신사점|30750.0
두레국수 본점|12250.0
0000 seoul|98000.0
샤오당쟈마라탕 신사본점|14650.0
잇샐러드 압구정점|14150.0
추풍령칼삼겹살 압구정점|9000.0
미아전|23500.0
블루보틀 압구정 카페|6000.0
퀸즈블러바드 압구정점|20620.0
카페 키츠네 서울|5375.0
마제스티 타바론 티 라운지|12000.0
도슬박|25000.0
하이볼가든|12750.0
세컨디포레스트 가로수길점|14750.0
37.5 시그니처 가로수길|25950.0
카페캠프통|0.0
이속우화천공|69500.0
세인트그릴|12075.0
있을 재|68500.0
배스킨라빈스 BROWN청담점|19725.0
포티데이즈|8500.0
압구정면옥|25750.0
이코복스커피 가로수길점|5900.0
하바나선셋|10250.0
달맞이 신사점|58250.0
르 사이트|3750.0
사토시|0.0
야키토리 요이사|5750.0
막이오름 가로수길점|26550.0
가디록|69250.0
달래해장 압구정로데오점|21250.0
빈터커피로스터스|3750.0
스시유키|105000.0
신사소곱창 신사본점|21150.0
두넛샵|4125.0
